;Aporte;AportePred;AporteMediaMovilQ;AporteMediaMovilS;AporteMediaMovilA;AportePredMediaMovilQ;AportePredMediaMovilS;AportePredMediaMovilA;Empresa
2023-08-01;284001000000.0;90145492751;178566333333.0;121472864945.0;112340274980.0;86947187109.0;86703676162.0;86913879459.0;Emp1
2023-09-01;91201737469.0;102871518427;175405912490.0;129821700670.0;104459419770.0;92961850553.0;88985929527.0;88583642486.0;Emp1
2023-10-01;23722126085.0;102105477285;132974954518.0;124107159165.0;106426202064.0;98374162821.0;91666677181.0;89625548909.0;Emp1
2023-11-01;;375555688436;;;;193510894716.0;140229040913.0;113945138456.0;Emp1
2023-12-01;;102181892470;;;;193281019397.0;143121434975.0;115330089538.0;Emp1
2024-01-01;;78256095765;;;;185331225557.0;141852694189.0;114388365647.0;Emp1
2024-02-01;;74501908018;;;;84979965418.0;139245430067.0;112974553115.0;Emp1
2024-03-01;;80812671412;;;;77856891732.0;135568955564.0;112277442546.0;Emp1
2024-04-01;;127197110762;;;;94170563397.0;139750894477.0;115708785829.0;Emp1
2024-05-01;;95859085593;;;;101289622589.0;93134794003.0;116681917458.0;Emp1
2024-06-01;;218401798823;;;;147152665059.0;112504778396.0;127813106685.0;Emp1
2024-07-01;;104038889756;;;;139433258057.0;116801910727.0;129327302458.0;Emp1
2024-08-01;;159354952072;;;;160598546884.0;130944084736.0;135094757402.0;Emp1
2024-09-01;;192043007281;;;;151812283036.0;149482474048.0;142525714806.0;Emp1
2024-10-01;;37847386431;;;;129748448595.0;134590853326.0;137170873902.0;Emp1
2024-11-01;;213413472031;;;;147767955248.0;154183251066.0;123659022534.0;Emp1
2024-12-01;;166039557501;;;;139100138654.0;145456210845.0;128980494620.0;Emp1
2025-01-01;;139337593309;;;;172930207614.0;151339328104.0;134070619416.0;Emp1
2025-02-01;;92816403102;;;;132731184637.0;140249569942.0;135596827339.0;Emp1
2025-03-01;;83121647473;;;;105091881295.0;122096009974.0;135789242011.0;Emp1
2025-04-01;;107870471325;;;;94602840633.0;133766524124.0;134178688725.0;Emp1
2025-05-01;;125953894545;;;;105648671114.0;119189927876.0;136686589471.0;Emp1
2025-06-01;;163462386511;;;;132428917460.0;118760399378.0;132108305111.0;Emp1
2025-07-01;;169954905007;;;;153123728688.0;123863284660.0;137601306382.0;Emp1
2025-08-01;;282266253824;;;;205227848447.0;155438259781.0;147843914862.0;Emp1
2025-09-01;;149488561793;;;;200569906875.0;166499412168.0;144297711071.0;Emp1
